City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
164,longyearbyen,78.2186,15.6401,272.06,69,75,8.23,SJ,1696439092
165,langepas,61.2544,75.2124,282.38,92,99,5.55,RU,1696439092
166,saipan,15.1355,145.701,300.54,89,40,4.63,MP,1696439092
167,dzuunharaa,48.8523,106.4579,278.54,62,37,1.94,MN,1696439092
168,guerrero negro,27.9769,-114.0611,296.11,64,30,2.4,MX,1696439093
169,mili,6.0815,171.735,301.5,75,32,3.88,MH,1696439093
170,hassi messaoud,31.6804,6.0729,303.07,26,0,3.6,DZ,1696439093
171,maumere,-8.6199,122.2111,298.71,80,7,1.37,ID,1696439093
172,mount isa,-20.7333,139.5,291.02,22,4,7.72,AU,1696439093
173,verkhnevilyuysk,63.4453,120.3167,272.56,87,100,3.58,RU,1696439093
174,tynda,55.1667,124.7167,268.04,92,29,0.94,RU,1696439093
175,adrar,20.5022,-10.0711,311.9,11,81,4.34,MR,1696439093
176,afaahiti,-17.75,-149.2833,298.08,84,66,8.62,PF,1696439094
177,touros,-5.1989,-35.4608,301.81,56,82,6.98,BR,1696439094
178,port elizabeth,-33.918,25.5701,292.65,88,20,4.12,ZA,1696439094
179,zouerate,22.7187,-12.4521,311.77,11,34,5.94,MR,1696439094
180,raja,8.4596,25.678,297.44,81,55,1.49,SS,1696439094
181,margate,51.3813,1.3862,289.76,61,77,1.34,GB,1696438880
182,nguigmi,14.2495,13.1092,307.2,27,39,5.77,NE,1696439095
183,san pedro pochutla,15.7333,-96.4667,300.99,67,100,2.59,MX,1696439095
184,rio gallegos,-51.6226,-69.2181,289.18,33,0,9.77,AR,1696439034
185,luderitz,-26.6481,15.1594,290.49,69,4,7.5,NA,1696439095
186,lihue,21.9789,-159.3672,295.73,94,0,3.09,US,1696439095
187,egilsstadir,65.2653,-14.3948,279.1,65,75,5.14,IS,1696439095
188,ixmiquilpan,20.4833,-99.2333,297.95,52,25,1.11,MX,1696439096
189,grand falls-windsor,48.9332,-55.6649,283.43,60,34,1.34,CA,1696439096
190,tolanaro,-25.0319,46.9987,296.19,68,0,7.2,MG,1696439096
191,coyhaique,-45.5752,-72.0662,286.49,47,40,4.12,CL,1696439096
192,talnakh,69.4865,88.3972,273.82,97,100,1.99,RU,1696439096
193,flying fish cove,-10.4217,105.6791,296.97,88,100,5.66,CX,1696439096
194,al jahra',29.3375,47.6581,309.05,19,2,3.64,KW,1696439097
195,hermanus,-34.4187,19.2345,291.5,84,100,2.94,ZA,1696439097
196,hithadhoo,-0.6,73.0833,300.83,80,29,5.38,MV,1696439098
197,coxim,-18.5067,-54.76,311.61,24,40,5.47,BR,1696439098
198,madalena,41.2162,-8.3345,299.68,69,2,2.88,PT,1696439099
199,lorengau,-2.0226,147.2712,299.9,82,99,4.64,PG,1696438888
200,coquimbo,-29.9533,-71.3436,290.0,63,0,7.2,CL,1696438814
201,vorkuta,67.5,64.0,274.78,85,100,3.45,RU,1696438815
202,haninge,59.1678,18.1448,285.74,75,3,0.45,SE,1696439099
203,malmberget,67.1753,20.6549,274.46,75,75,1.54,SE,1696439099
204,sinan,34.8262,126.1086,293.21,55,96,15.84,KR,1696439099
205,mahenge,-8.6833,36.7167,292.57,68,75,1.39,TZ,1696439099
206,tekeli,44.83,78.8239,282.33,40,59,3.32,KZ,1696439100
207,caraballeda,10.6112,-66.8522,306.19,66,20,3.09,VE,1696439100
208,chonchi,-42.6128,-73.8092,286.55,83,90,0.38,CL,1696438968
209,kaimganj,27.5667,79.35,299.08,49,0,1.91,IN,1696439100
210,sanliurfa,37.2128,38.7817,294.08,31,3,1.19,TR,1696439100
211,saint-francois,46.4154,3.9054,291.84,52,0,1.03,FR,1696438832
212,bamboo flat,11.7,92.7167,299.79,83,100,4.02,IN,1696439100
213,smithers,54.7804,-127.1743,277.33,100,75,0.0,CA,1696439049
214,rosarito,32.3333,-117.0333,299.39,78,2,3.32,MX,1696438806
215,ancud,-41.8697,-73.8203,282.52,81,14,2.99,CL,1696438816
216,dumka,24.2667,87.25,297.58,99,100,3.68,IN,1696439102
217,lerwick,60.1545,-1.1494,284.15,88,100,1.95,GB,1696439102
218,ust-nera,64.5667,143.2,271.6,72,42,1.34,RU,1696439104
219,tagta,41.6504,59.9164,293.12,40,0,3.09,TM,1696439108
220,batangafo,7.3008,18.2833,298.43,82,23,1.05,CF,1696439110
221,siparia,10.1333,-61.5,308.23,63,29,5.69,TT,1696439113
222,hajin,34.6927,40.827,300.54,35,96,1.39,SY,1696439114
223,tamanrasset,22.785,5.5228,296.1,43,40,5.66,DZ,1696438948
224,san patricio,28.017,-97.5169,306.43,57,38,3.89,US,1696439115
225,sechura,-5.5569,-80.8222,299.1,60,69,4.11,PE,1696439115
226,bredasdorp,-34.5322,20.0403,288.89,94,100,2.16,ZA,1696439115
227,palmer,42.1584,-72.3287,302.25,58,0,0.0,US,1696439117
228,st. john's,47.5649,-52.7093,282.97,84,75,8.75,CA,1696439118
229,kalemie,-5.9475,29.1947,297.99,46,78,1.33,CD,1696439118
230,constitucion,-35.3333,-72.4167,288.01,62,1,4.8,CL,1696439118
231,lower hutt,-41.2167,174.9167,285.55,89,80,8.75,NZ,1696439118
232,fale old settlement,-9.3852,-171.2468,301.3,76,100,5.41,TK,1696439118
233,saint-pierre,-21.3393,55.4781,295.97,73,0,6.17,RE,1696439118
234,chittarkonda,18.1167,82.0833,294.91,75,100,0.44,IN,1696439119
235,port mathurin,-19.6833,63.4167,296.86,77,14,4.33,MU,1696439119
236,luwingu,-10.2621,29.9271,298.05,26,28,2.42,ZM,1696439119
237,lobujya,27.95,86.8167,274.25,97,100,0.85,NP,1696439120
238,linden,6.0,-58.3,304.21,60,57,1.85,GY,1696439120
239,vallenar,-28.5708,-70.7581,296.81,19,84,4.45,CL,1696438938
240,erenhot,43.6475,111.9767,281.57,26,0,2.02,CN,1696439120
241,neyyattinkara,8.4,77.0833,300.07,94,100,1.52,IN,1696438985
242,hasaki,35.7333,140.8333,292.2,89,100,5.91,JP,1696439120
243,kapa'a,22.0752,-159.319,296.14,94,0,3.09,US,1696439121
244,berdigestyakh,62.0989,126.6992,271.09,82,32,1.79,RU,1696439121
245,codrington,-38.2667,141.9667,280.98,79,39,5.37,AU,1696439121
246,katsuura,35.1333,140.3,293.08,92,100,3.38,JP,1696439121
247,amga,60.8953,131.9608,267.58,100,87,0.89,RU,1696439121
248,phek,25.6667,94.5,288.4,99,90,0.26,IN,1696439121
249,al wajh,26.2455,36.4525,303.12,58,0,5.14,SA,1696439015
250,holualoa,19.6228,-155.9522,296.97,79,15,3.13,US,1696438872
251,micheweni,-4.9667,39.8333,298.54,83,63,5.14,TZ,1696439122
252,arkhangel'sk,64.5401,40.5433,279.89,79,100,6.21,RU,1696439122
253,shuangyang,43.5242,125.6736,278.63,80,33,5.05,CN,1696439122
254,sao borja,-28.6606,-56.0044,293.12,78,98,6.07,BR,1696438976
255,tahoua,14.8888,5.2692,310.14,25,42,1.54,NE,1696439122
256,weno,7.4515,151.8468,300.12,89,40,1.54,FM,1696439122
257,queenstown,-31.8976,26.8753,299.79,24,59,1.8,ZA,1696438892
258,newman,37.3138,-121.0208,296.64,56,0,1.79,US,1696439123
259,college,64.8569,-147.8028,270.41,90,75,2.06,US,1696439123
260,kulgam,33.65,75.0167,287.07,42,0,1.22,IN,1696439123
261,dazhou,31.2159,107.5009,290.77,95,100,2.7,CN,1696439123
262,pak phanang,8.3511,100.202,299.9,84,97,1.94,TH,1696439123
263,kayangel,8.0823,134.7173,301.31,76,99,5.71,PW,1696439123
264,muisne,0.6,-80.0333,300.05,69,76,4.78,EC,1696439124
265,hammerfest,70.6634,23.6821,276.4,81,75,4.63,NO,1696439124
266,leua,48.2156,18.6071,288.98,52,100,1.82,SK,1696439124
267,enshi,30.3,109.4833,290.63,95,100,2.19,CN,1696439124
268,macapa,0.0389,-51.0664,307.14,52,75,6.17,BR,1696438852
269,yinchuan,38.4681,106.2731,289.36,30,100,1.82,CN,1696439124
270,loukhi,66.0764,33.0381,277.35,96,96,2.23,RU,1696439124
271,isafjordur,66.0755,-23.124,277.17,81,100,1.54,IS,1696439125
272,uzhur,55.3036,89.8339,280.07,67,40,1.52,RU,1696439125
273,yuzhno-kurilsk,44.0306,145.8556,287.25,73,66,5.13,RU,1696439125
274,tughyl,47.7252,84.2063,286.95,65,1,2.87,KZ,1696439125
275,balabac,7.9868,117.0645,300.48,77,100,0.72,PH,1696439125
276,torghay,49.6339,63.4981,286.32,34,95,2.18,KZ,1696439125
277,mount gambier,-37.8333,140.7667,278.65,88,58,3.07,AU,1696439126
278,road town,18.4167,-64.6167,302.2,84,40,7.72,VG,1696439126
279,guanica,17.9716,-66.908,305.2,50,84,3.92,PR,1696439126
280,puerto deseado,-47.7503,-65.8938,287.59,39,0,5.42,AR,1696438897
281,fort bragg,35.139,-79.006,299.23,53,20,5.14,US,1696438862
282,carutapera,-1.195,-46.02,304.67,52,30,5.25,BR,1696439126
283,port isabel,26.0734,-97.2086,308.17,64,20,7.2,US,1696439126
284,thinadhoo,0.5333,72.9333,300.8,80,27,4.07,MV,1696439120
285,moyale,3.5167,39.0584,296.47,60,94,5.15,KE,1696439127
